https://mtbdatabase.com/bikes/2025/r-raymon/trailray/2025-r-raymon-trailray-120-ultra/,R RAYMON TRAILRAY 120 ULTRA,"$5,483.28",2025,R-raymon,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025-haro-double-peak-3/,HARO DOUBLE PEAK 3,$999.00,2025,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-bixs-lane-x-silver-anthracite/,BIXS LANE X SILVER-ANTHRACITE,,2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/bh/lynx/2024-bh-lynx-sls-8-0/,BH LYNX SLS 8.0,"$7,349.56",2024,Bh,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/canyon/stoic/2024-canyon-stoic-2/,CANYON STOIC 2,"$1,095.78",2024,Canyon,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-conway-cairon-s-2-0-625-se-hardtail-diamond/,"CONWAY CAIRON S 2.0 625 SE HARDTAIL, DIAMOND",,2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/fairdale/hareraiser/2024-fairdale-hareraiser-26-dj-frame/,"FAIRDALE HARERAISER 26"""" DJ FRAME",$499.00,2024,Fairdale,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025-pegasus-obiro-evo-5f-belt-wave/,PEGASUS OBIRO EVO 5F BELT WAVE,"$4,276.72",2025,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-mongoose-status-26in/,MONGOOSE STATUS 26IN,$399.00,2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025-tunturi-centum/,TUNTURI CENTUM,"$2,028.12",2025,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025-simplon-cure-eexpertxt/,"SIMPLON CURE :E,EXPERT,XT","$7,347.97",2025,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/haibike/alltrack/2024-haibike-alltrack-6-5/,HAIBIKE ALLTRACK 6.5,,2024,Haibike,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-sense-hardcore-comp-r/,SENSE HARDCORE COMP R,,2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-rossignol-mandate-jr-20-mountain-bike/,ROSSIGNOL MANDATE JR 20 MOUNTAIN BIKE,"$1,605.58",2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/radio/asura/2024-radio-asura/,RADIO ASURA,,2024,Radio,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/forbidden/dreadnought/2024-forbidden-dreadnought-gx-rs-s-plus-29/,FORBIDDEN DREADNOUGHT GX RS S PLUS 29,"$7,299.00",2024,Forbidden,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/co-op/drt/2024-co-op-drt-1-1/,CO-OP DRT 1.1,$599.00,2024,Co-op,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/canyon/striveon/2024-canyon-striveon-cfr/,CANYON STRIVE:ON CFR,"$7,677.03",2024,Canyon,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-cannondale-trail-2/,CANNONDALE TRAIL 2,$750.00,2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025/marin/rift-zone/2025-marin-rift-zone-jr-24/,"MARIN RIFT ZONE JR 24""""","$1,699.00",2025,Marin,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025/cube/stereo/2025-cube-stereo-one44-c68x-slt-29/,CUBE STEREO ONE44 C:68X SLT 29,"$7,128.60",2025,Cube,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/propain/tyee/2024-propain-tyee-6-cf-shred%C2%B2/,PROPAIN TYEE 6 CF SHRED²,"$5,466.83",2024,Propain,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025-trek-rail-9-8-gx-axs-t-type-gen-5/,TREK RAIL+ 9.8 GX AXS T-TYPE GEN 5,"$9,322.35",2025,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025-transition-smuggler-alloy-deore/,TRANSITION SMUGGLER ALLOY DEORE,"$3,299.00",2025,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/canyon/spectral/2024-canyon-spectral-cf-8-cllctv/,CANYON SPECTRAL CF 8 CLLCTV,"$4,386.41",2024,Canyon,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/gt/zaskar/2024-gt-zaskar-lt-elite/,GT ZASKAR LT ELITE,"$1,800.00",2024,Gt,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025/merida/one-sixty/2025-merida-one-sixty-500/,MERIDA ONE-SIXTY 500,"$2,297.24",2025,Merida,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025/commencal/meta-power/2025-commencal-meta-power-sx-400-essential/,COMMENCAL META POWER SX 400 ESSENTIAL,"$5,700.00",2025,Commencal,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/focus/jam/2024-focus-jam%C2%B2-7-9/,FOCUS JAM² 7.9,"$8,554.54",2024,Focus,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025/pivot/shuttle-lt/2025-pivot-shuttle-lt-team-xx-eagle-transmission-neo/,PIVOT SHUTTLE LT TEAM XX EAGLE TRANSMISSION NEO,$NAN,2025,Pivot,None,"29"" 27.5""",None,,,,,,,,,
https://mtbdatabase.com/bikes/2024-victoria-avyon-5-diamond/,VICTORIA AVYON 5 DIAMOND,"$5,373.60",2024,None,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/forbidden/dreadnought/2024-forbidden-dreadnought-gx-rs-s-mullet/,FORBIDDEN DREADNOUGHT GX RS S MULLET,"$6,499.00",2024,Forbidden,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2025/r-raymon/trailray/2025-r-raymon-trailray-170/,R RAYMON TRAILRAY 170,"$5,263.91",2025,R-raymon,None,None,None,,,,,,,,,
https://mtbdatabase.com/bikes/2024/haibike/alltrail/2024-haibike-alltrail-7/,HAIBIKE ALLTRAIL 7,"$5,483.28",2024,Haibike,None,None,None,,,,,,,,,
